"id";"name";"guard_name";"created_at";"updated_at";"deleted_at"
1;view-any AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
2;view-any AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
3;view AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
4;view AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
5;create AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
6;create AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
7;update AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
8;update AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
9;delete AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
10;delete AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
11;restore AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
12;restore AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
13;force-delete AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
14;force-delete AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
15;replicate AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
16;replicate AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
17;reorder AccountPayable;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
18;reorder AccountPayable;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
19;view-any Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
20;view-any Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
21;view Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
22;view Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
23;create Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
24;create Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
25;update Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
26;update Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
27;delete Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
28;delete Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
29;restore Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
30;restore Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
31;force-delete Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
32;force-delete Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
33;replicate Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
34;replicate Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
35;reorder Accounting;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
36;reorder Accounting;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
37;view-any Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
38;view-any Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
39;view Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
40;view Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
41;create Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
42;create Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
43;update Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
44;update Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
45;delete Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
46;delete Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
47;restore Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
48;restore Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
49;force-delete Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
50;force-delete Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
51;replicate Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
52;replicate Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
53;reorder Bank;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
54;reorder Bank;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
55;view-any Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
56;view-any Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
57;view Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
58;view Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
59;create Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
60;create Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
61;update Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
62;update Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
63;delete Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
64;delete Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
65;restore Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
66;restore Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
67;force-delete Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
68;force-delete Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
69;replicate Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
70;replicate Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
71;reorder Bill;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
72;reorder Bill;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
73;view-any Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
74;view-any Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
75;view Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
76;view Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
77;create Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
78;create Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
79;update Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
80;update Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
81;delete Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
82;delete Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
83;restore Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
84;restore Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
85;force-delete Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
86;force-delete Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
87;replicate Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
88;replicate Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
89;reorder Branch;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
90;reorder Branch;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
91;view-any Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
92;view-any Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
93;view Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
94;view Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
95;create Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
96;create Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
97;update Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
98;update Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
99;delete Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
100;delete Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
101;restore Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
102;restore Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
103;force-delete Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
104;force-delete Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
105;replicate Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
106;replicate Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
107;reorder Costcenter;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
108;reorder Costcenter;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
109;view-any Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
110;view-any Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
111;view Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
112;view Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
113;create Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
114;create Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
115;update Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
116;update Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
117;delete Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
118;delete Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
119;restore Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
120;restore Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
121;force-delete Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
122;force-delete Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
123;replicate Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
124;replicate Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
125;reorder Cte;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
126;reorder Cte;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
127;view-any Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
128;view-any Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
129;view Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
130;view Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
131;create Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
132;create Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
133;update Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
134;update Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
135;delete Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
136;delete Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
137;restore Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
138;restore Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
139;force-delete Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
140;force-delete Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
141;replicate Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
142;replicate Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
143;reorder Customer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
144;reorder Customer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
145;view-any DocumentFiscalCustomer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
146;view-any DocumentFiscalCustomer;api;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
147;view DocumentFiscalCustomer;web;"2024-01-31 17:03:43";"2024-01-31 17:03:43";
148;view DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
149;create DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
150;create DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
151;update DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
152;update DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
153;delete DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
154;delete DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
155;restore DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
156;restore DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
157;force-delete DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
158;force-delete DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
159;replicate DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
160;replicate DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
161;reorder DocumentFiscalCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
162;reorder DocumentFiscalCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
163;view-any GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
164;view-any GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
165;view GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
166;view GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
167;create GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
168;create GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
169;update GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
170;update GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
171;delete GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
172;delete GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
173;restore GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
174;restore GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
175;force-delete GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
176;force-delete GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
177;replicate GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
178;replicate GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
179;reorder GroupCustomer;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
180;reorder GroupCustomer;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
181;view-any Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
182;view-any Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
183;view Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
184;view Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
185;create Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
186;create Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
187;update Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
188;update Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
189;delete Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
190;delete Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
191;restore Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
192;restore Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
193;force-delete Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
194;force-delete Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
195;replicate Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
196;replicate Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
197;reorder Lot;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
198;reorder Lot;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
199;view-any MultiSoftware;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
200;view-any MultiSoftware;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
201;view MultiSoftware;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
202;view MultiSoftware;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
203;create MultiSoftware;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
204;create MultiSoftware;api;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
205;update MultiSoftware;web;"2024-01-31 17:03:44";"2024-01-31 17:03:44";
